vehID,in_time,out_time
added_7,25560.0,26428.0
added_8,25831.0,26721.0
added_9,26327.0,26729.0
added_10,26626.0,28108.0
added_11,26963.0,27756.0
added_12,27128.0,27650.0
added_13,27561.0,29130.0
added_14,27564.0,28405.0
added_15,27773.0,28361.0
added_16,28065.0,28701.0
added_17,28366.0,29238.0
added_18,28444.0,29000.0
added_19,28447.0,28985.0
added_20,28725.0,29231.0
221888670#10__15.1,25202.0,25612.0
221888670#10__15.6,25212.0,26009.0
221888670#10__15.24,25248.0,25569.0
221888670#10__15.29,25258.0,25886.0
221888670#10__15.39,25278.0,25851.0
221888670#10__15.43,25286.0,25872.0
221888670#10__15.69,25338.0,26045.0
221888670#10__08.4,25344.0,25843.0
221888670#10__15.75,25350.0,25961.0
221888670#10__15.88,25376.0,25950.0
221888670#10__15.99,25398.0,25979.0
221888670#10__15.104,25408.0,25988.0
221888670#10__05.6,25416.0,26278.0
221888670#10__06.6,25416.0,26315.0
221888670#10__15.120,25440.0,25928.0
221888670#10__15.122,25444.0,25774.0
221888670#10__06.7,25452.0,26330.0
221888670#10__15.132,25464.0,25976.0
221888670#10__04.8,25488.0,26092.0
221888670#10__05.8,25488.0,26374.0
221888670#10__06.8,25488.0,25975.0
221888670#10__15.153,25506.0,25940.0
221888670#10__15.156,25512.0,26061.0
221888670#10__15.165,25530.0,26141.0
221888670#10__05.10,25560.0,26396.0
221888670#10__08.10,25560.0,26113.0
221888670#10__04.11,25596.0,26199.0
221888670#10__11.11,25596.0,25953.0
221888670#10__15.204,25608.0,25950.0
221888670#10__15.214,25628.0,26248.0
221888670#10__03.12,25632.0,26420.0
221888670#10__07.12,25632.0,26344.0
221888670#10__08.12,25632.0,26125.0
221888670#10__15.225,25650.0,26370.0
221888670#10__08.13,25668.0,26227.0
221888670#10__10.13,25668.0,26139.0
221888670#10__15.245,25690.0,26202.0
221888670#10__02.14,25704.0,26449.0
221888670#10__15.255,25710.0,26532.0
221888670#10__05.15,25740.0,26264.0
221888670#10__12.15,25740.0,26073.0
221888670#10__15.271,25742.0,26333.0
221888670#10__06.16,25776.0,26192.0
221888670#10__07.16,25776.0,26350.0
221888670#10__08.16,25776.0,26283.0
221888670#10__09.16,25776.0,26379.0
221888670#10__10.16,25776.0,26407.0
221888670#10__15.292,25784.0,26275.0
221888670#10__15.298,25796.0,26232.0
221888670#10__15.299,25798.0,26696.0
221888670#10__05.17,25812.0,26333.0
221888670#10__15.308,25816.0,26670.0
221888670#10__15.311,25822.0,26288.0
221888670#10__15.330,25860.0,26324.0
221888670#10__15.331,25862.0,26530.0
221888670#10__04.19,25884.0,26549.0
221888670#10__08.19,25884.0,26674.0
221888670#10__15.344,25888.0,26785.0
221888670#10__09.20,25920.0,26314.0
221888670#10__15.366,25932.0,26756.0
221888670#10__15.373,25946.0,26292.0
221888670#10__03.21,25956.0,26529.0
221888670#10__04.21,25956.0,26560.0
221888670#10__07.21,25956.0,26594.0
221888670#10__09.21,25956.0,26836.0
221888670#10__10.21,25956.0,26281.0
221888670#10__08.22,25992.0,26879.0
221888670#10__05.23,26028.0,26478.0
221888670#10__11.23,26028.0,26536.0
221888670#10__15.434,26068.0,26769.0
221888670#10__01.25,26100.0,26796.0
221888670#10__04.25,26100.0,26963.0
221888670#10__06.25,26100.0,26875.0
221888670#10__10.25,26100.0,26632.0
221888670#10__15.452,26104.0,26543.0
221888670#10__15.455,26110.0,26645.0
221888670#10__15.456,26112.0,26962.0
221888670#10__12.26,26136.0,26507.0
221888670#10__15.481,26162.0,26881.0
221888670#10__04.27,26172.0,26808.0
221888670#10__11.27,26172.0,26995.0
221888670#10__15.497,26194.0,26744.0
221888670#10__15.509,26218.0,26856.0
221888670#10__15.514,26228.0,26806.0
221888670#10__05.29,26244.0,26626.0
221888670#10__15.526,26252.0,27138.0
221888670#10__15.544,26288.0,27149.0
221888670#10__15.555,26310.0,26763.0
221888670#10__15.557,26314.0,26845.0
221888670#10__10.31,26316.0,26818.0
221888670#10__15.560,26320.0,26964.0
221888670#10__11.32,26352.0,26742.0
221888670#10__15.587,26374.0,26732.0
221888670#10__15.595,26390.0,27197.0
221888670#10__15.598,26396.0,27240.0
221888670#10__15.600,26400.0,26910.0
221888670#10__15.604,26408.0,26887.0
221888670#10__15.611,26422.0,27281.0
221888670#10__10.34,26424.0,27138.0
221888670#10__15.629,26458.0,27093.0
221888670#10__02.35,26460.0,27254.0
221888670#10__10.35,26460.0,26859.0
221888670#10__12.35,26460.0,27162.0
221888670#10__15.641,26482.0,26917.0
221888670#10__15.645,26490.0,27198.0
221888670#10__04.36,26496.0,27277.0
221888670#10__10.36,26496.0,26965.0
221888670#10__15.660,26520.0,27198.0
221888670#10__09.37,26532.0,27215.0
221888670#10__12.37,26532.0,27135.0
221888670#10__15.667,26534.0,27152.0
221888670#10__15.691,26582.0,27219.0
221888670#10__08.39,26604.0,27037.0
221888670#10__15.709,26618.0,27179.0
221888670#10__07.40,26640.0,27138.0
221888670#10__13.40,26640.0,27482.0
221888670#10__15.721,26642.0,27532.0
221888670#10__15.725,26650.0,27055.0
221888670#10__02.41,26676.0,27569.0
221888670#10__08.42,26712.0,27154.0
221888670#10__10.42,26712.0,27425.0
221888670#10__15.763,26726.0,27124.0
221888670#10__15.768,26736.0,27257.0
221888670#10__15.778,26756.0,27627.0
221888670#10__15.779,26758.0,27392.0
221888670#10__15.803,26806.0,27368.0
221888670#10__15.805,26810.0,27463.0
221888670#10__15.806,26812.0,27136.0
221888670#10__15.808,26816.0,27407.0
221888670#10__10.45,26820.0,27434.0
221888670#10__15.813,26826.0,27724.0
221888670#10__10.46,26856.0,27288.0
221888670#10__15.829,26858.0,27361.0
221888670#10__15.830,26860.0,27448.0
221888670#10__15.834,26868.0,27494.0
221888670#10__15.844,26888.0,27540.0
221888670#10__01.47,26892.0,27658.0
221888670#10__13.47,26892.0,27363.0
221888670#10__15.846,26892.0,27417.0
221888670#10__15.854,26908.0,27480.0
221888670#10__15.858,26916.0,27492.0
221888670#10__01.48,26928.0,27545.0
221888670#10__03.48,26928.0,27471.0
221888670#10__05.48,26928.0,27398.0
221888670#10__12.48,26928.0,27412.0
221888670#10__13.48,26928.0,27777.0
221888670#10__15.877,26954.0,27407.0
221888670#10__01.49,26964.0,27398.0
221888670#10__06.49,26964.0,27369.0
221888670#10__11.49,26964.0,27856.0
221888670#10__15.894,26988.0,27507.0
221888670#10__15.908,27016.0,27444.0
221888670#10__15.914,27028.0,27527.0
221888670#10__12.51,27036.0,27840.0
221888670#10__15.922,27044.0,27641.0
221888670#10__15.932,27064.0,27611.0
221888670#10__15.935,27070.0,27789.0
221888670#10__06.52,27072.0,27903.0
221888670#10__09.52,27072.0,27712.0
221888670#10__15.937,27074.0,27456.0
221888670#10__15.940,27080.0,27660.0
221888670#10__15.943,27086.0,27678.0
221888670#10__15.947,27094.0,27725.0
221888670#10__03.53,27108.0,27505.0
221888670#10__05.53,27108.0,27833.0
221888670#10__12.53,27108.0,27571.0
221888670#10__15.955,27110.0,27837.0
221888670#10__15.960,27120.0,27476.0
221888670#10__05.54,27144.0,27674.0
221888670#10__02.55,27180.0,27674.0
221888670#10__15.996,27192.0,27833.0
221888670#10__15.1005,27210.0,28055.0
221888670#10__09.56,27216.0,27989.0
221888670#10__15.1008,27216.0,28074.0
221888670#10__15.1022,27244.0,28084.0
221888670#10__15.1023,27246.0,27753.0
221888670#10__15.1028,27256.0,27758.0
221888670#10__15.1038,27276.0,27960.0
221888670#10__02.58,27288.0,27873.0
221888670#10__05.58,27288.0,27705.0
221888670#10__06.58,27288.0,27687.0
221888670#10__09.58,27288.0,28103.0
221888670#10__10.58,27288.0,28167.0
221888670#10__12.58,27288.0,27932.0
221888670#10__09.59,27324.0,27938.0
221888670#10__10.59,27324.0,27755.0
221888670#10__15.1066,27332.0,28064.0
221888670#10__15.1079,27358.0,28171.0
221888670#10__15.1091,27382.0,27939.0
221888670#10__07.62,27432.0,28005.0
221888670#10__15.1118,27436.0,27763.0
221888670#10__15.1120,27440.0,28146.0
221888670#10__15.1124,27448.0,28246.0
221888670#10__15.1128,27456.0,28297.0
