vehid,depart
added_7,25614.0
added_8,25856.0
added_9,26363.0
added_10,26650.0
added_11,26971.0
added_12,27160.0
added_13,27587.0
added_14,27570.0
added_15,27781.0
added_16,28072.0
added_17,28375.0
added_18,28494.0
added_19,28464.0
added_20,28741.0
added_21,28958.0
added_22,29006.0
added_23,29081.0
added_24,29051.0
added_25,29145.0
added_26,29225.0
added_27,29314.0
added_28,29672.0
added_29,29822.0
added_30,29923.0
added_31,30239.0
added_32,30260.0
added_33,30669.0
added_34,30629.0
added_35,30770.0
added_36,30985.0
added_37,31122.0
added_38,31241.0
added_39,31232.0
added_40,31397.0
added_41,31562.0
added_42,31707.0
added_43,31755.0
added_45,31842.0
added_46,31925.0
added_47,31940.0
added_48,32012.0
added_49,32068.0
added_50,32087.0
added_51,32171.0
added_52,32163.0
added_53,32306.0
added_54,32584.0
added_55,32716.0
added_56,32947.0
added_57,33207.0
added_58,33267.0
added_59,33503.0
added_60,33550.0
added_61,33633.0
added_62,33757.0
added_63,33885.0
added_64,33883.0
added_65,33965.0
added_66,33963.0
added_67,34007.0
added_68,34122.0
added_69,34234.0
added_70,34585.0
added_71,34874.0
added_72,35141.0
added_73,35201.0
added_74,35261.0
added_75,35385.0
221888670#10__15.1,25229.0
221888670#10__15.6,25336.0
221888670#10__15.24,25352.0
221888670#10__15.29,25300.0
221888670#10__15.39,25322.0
221888670#10__15.43,25441.0
221888670#10__15.69,25358.0
221888670#10__08.4,25470.0
221888670#10__15.75,25504.0
221888670#10__15.88,25453.0
221888670#10__15.99,25508.0
221888670#10__15.104,25474.0
221888670#10__05.6,25419.0
221888670#10__06.6,25461.0
221888670#10__15.120,25510.0
221888670#10__15.122,25574.0
221888670#10__06.7,25490.0
221888670#10__15.132,25617.0
221888670#10__04.8,25538.0
221888670#10__05.8,25508.0
221888670#10__06.8,25520.0
221888670#10__15.153,25618.0
221888670#10__15.156,25539.0
221888670#10__15.165,25619.0
221888670#10__05.10,25568.0
221888670#10__08.10,25705.0
