vehid,depart
added_7,25596.0
added_8,25863.0
added_9,26345.0
added_10,26631.0
added_11,27006.0
added_12,27153.0
added_13,27633.0
added_14,27613.0
added_15,27808.0
added_16,28085.0
added_17,28381.0
added_18,28444.0
added_19,28467.0
added_20,28734.0
221888670#10__15.1,25216.0
221888670#10__15.6,25336.0
221888670#10__15.24,25329.0
221888670#10__15.29,25302.0
221888670#10__15.39,25339.0
221888670#10__15.43,25309.0
221888670#10__15.69,25413.0
221888670#10__08.4,25485.0
221888670#10__15.75,25364.0
221888670#10__15.88,25452.0
221888670#10__15.99,25400.0
221888670#10__15.104,25507.0
221888670#10__05.6,25421.0
221888670#10__06.6,25430.0
221888670#10__15.120,25470.0
221888670#10__15.122,25578.0
221888670#10__06.7,25474.0
221888670#10__15.132,25498.0
221888670#10__04.8,25499.0
221888670#10__05.8,25513.0
221888670#10__06.8,25511.0
221888670#10__15.153,25628.0
221888670#10__15.156,25582.0
221888670#10__15.165,25631.0
221888670#10__05.10,25572.0
221888670#10__08.10,25576.0
221888670#10__04.11,25630.0
221888670#10__11.11,25598.0
221888670#10__15.204,25709.0
221888670#10__15.214,25632.0
221888670#10__03.12,25659.0
221888670#10__07.12,25679.0
221888670#10__08.12,25669.0
221888670#10__15.225,25682.0
221888670#10__08.13,25887.0
221888670#10__10.13,25740.0
221888670#10__15.245,25801.0
221888670#10__02.14,25751.0
221888670#10__15.255,25835.0
221888670#10__05.15,25747.0
221888670#10__12.15,25768.0
221888670#10__15.271,25839.0
221888670#10__06.16,25809.0
221888670#10__07.16,25810.0
221888670#10__08.16,25793.0
221888670#10__09.16,25820.0
221888670#10__10.16,25793.0
221888670#10__15.292,25826.0
221888670#10__15.298,25820.0
221888670#10__15.299,25934.0
221888670#10__05.17,25846.0
221888670#10__15.308,25853.0
221888670#10__15.311,25881.0
221888670#10__15.330,25931.0
221888670#10__15.331,25979.0
221888670#10__04.19,25943.0
221888670#10__08.19,25911.0
221888670#10__15.344,26020.0
221888670#10__09.20,25931.0
221888670#10__15.366,26043.0
221888670#10__15.373,26033.0
221888670#10__03.21,25998.0
221888670#10__04.21,25965.0
221888670#10__07.21,25981.0
221888670#10__09.21,26011.0
221888670#10__10.21,26036.0
221888670#10__08.22,26086.0
221888670#10__05.23,26046.0
221888670#10__11.23,26038.0
221888670#10__15.434,26074.0
221888670#10__01.25,26216.0
221888670#10__04.25,26196.0
221888670#10__06.25,26134.0
221888670#10__10.25,26112.0
221888670#10__15.452,26224.0
221888670#10__15.455,26120.0
221888670#10__15.456,26234.0
221888670#10__12.26,26142.0
221888670#10__15.481,26265.0
221888670#10__04.27,26189.0
221888670#10__11.27,26256.0
221888670#10__15.497,26201.0
221888670#10__15.509,26322.0
221888670#10__15.514,26246.0
221888670#10__05.29,26269.0
221888670#10__15.526,26398.0
221888670#10__15.544,26330.0
221888670#10__15.555,26429.0
221888670#10__15.557,26402.0
221888670#10__10.31,26344.0
221888670#10__15.560,26339.0
221888670#10__11.32,26425.0
221888670#10__15.587,26419.0
221888670#10__15.595,26405.0
221888670#10__15.598,26447.0
221888670#10__15.600,26433.0
221888670#10__15.604,26408.0
221888670#10__15.611,26457.0
221888670#10__10.34,26455.0
221888670#10__15.629,26572.0
221888670#10__02.35,26518.0
221888670#10__10.35,26472.0
221888670#10__12.35,26462.0
221888670#10__15.641,26488.0
221888670#10__15.645,26506.0
221888670#10__04.36,26524.0
221888670#10__10.36,26511.0
221888670#10__15.660,26671.0
221888670#10__09.37,26579.0
