vehid,depart
221888670#10__15.6,25317.0
221888670#10__15.12,25262.0
221888670#10__15.16,25332.0
221888670#10__06.1,25243.0
221888670#10__15.19,25289.0
221888670#10__15.23,25265.0
221888670#10__15.26,25421.0
221888670#10__15.36,25305.0
221888670#10__15.46,25349.0
221888670#10__15.55,25383.0
221888670#10__15.59,25353.0
221888670#10__15.64,25333.0
221888670#10__15.71,25389.0
221888670#10__04.4,25389.0
221888670#10__15.72,25385.0
221888670#10__15.80,25423.0
221888670#10__15.109,25423.0
221888670#10__15.114,25493.0
221888670#10__15.140,25541.0
221888670#10__15.141,25614.0
221888670#10__15.187,25637.0
221888670#10__15.192,25696.0
221888670#10__15.205,25614.0
221888670#10__15.212,25759.0
221888670#10__15.224,25777.0
221888670#10__15.259,25787.0
221888670#10__15.264,25770.0
221888670#10__15.286,25844.0
221888670#10__15.294,25862.0
221888670#10__15.302,25835.0
221888670#10__15.304,25902.0
221888670#10__15.305,25843.0
221888670#10__06.17,25847.0
221888670#10__15.308,25971.0
221888670#10__15.316,25915.0
221888670#10__15.321,25967.0
221888670#10__15.332,25975.0
221888670#10__15.336,26040.0
221888670#10__15.339,25912.0
221888670#10__15.362,26034.0
221888670#10__15.363,26060.0
221888670#10__15.364,25932.0
221888670#10__15.371,26050.0
221888670#10__15.392,26016.0
221888670#10__15.409,26056.0
221888670#10__15.414,26127.0
221888670#10__15.416,26150.0
221888670#10__15.418,26043.0
221888670#10__15.460,26174.0
221888670#10__15.462,26232.0
221888670#10__15.469,26243.0
221888670#10__15.474,26249.0
221888670#10__15.475,26264.0
221888670#10__15.477,26270.0
221888670#10__15.495,26278.0
221888670#10__15.500,26269.0
221888670#10__15.501,26327.0
221888670#10__15.505,26331.0
221888670#10__06.29,26265.0
221888670#10__15.545,26341.0
221888670#10__15.567,26384.0
221888670#10__15.583,26380.0
221888670#10__15.592,26503.0
221888670#10__15.601,26403.0
221888670#10__15.603,26496.0
221888670#10__15.606,26521.0
221888670#10__15.609,26468.0
221888670#10__15.612,26558.0
