vType_accel;vType_color;vType_decel;vType_hphm;vType_hpzl;vType_id;vType_lcCooperative;vType_lcKeepRight;vType_lcSpeedGain;vType_lcStrategic;vType_length;vType_maxSpeed;vType_minGap;vType_sigma;vType_tau;vType_width;vehicle_depart;vehicle_id;vehicle_type;route_edges
3;1,0,0;4;2ece8a50602ee785835f7eeaa65ac2a2;02;vtype1;1;1;1;1;4.3;6.979903673550442;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;11216.0;1;vtype1;60267 69749704 63393
3;1,0,0;4;45c1a46a69e0523e8f505907d247bef1;02;vtype3;1;1;1;1;4.3;8.30467967177785;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;11347.0;3;vtype3;95608510 95608511 95608502 95608494
3;1,0,0;4;3be8c5f15a362851a6812b38cc7bde77;02;vtype7;1;1;1;1;4.3;7.885046604173022;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;13318.0;7;vtype7;89156385 13467163 13467164
3;1,0,0;4;e0bc3bacee6e9b65ac29288a195f8af1;02;vtype10;1;1;1;1;4.3;11.081501882628007;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;13443.230000000001;10;vtype10;89156371 89156372
3;1,0,0;4;ed6d26001fcd8d04cc232691e03f52fb;02;vtype12;1;1;1;1;4.3;10.37469241644572;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;13807.0;12;vtype12;13467166 13085807
3;1,0,0;4;15b6fefbd7b6cbb8a39aa6b5c84a32e4;02;vtype13;1;1;1;1;4.3;9.438782325118515;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;13883.0;13;vtype13;60267 69749704 63393
3;1,0,0;4;45f9e1d19a5f90fbdb4ffd4d74e1bf31;02;vtype14;1;1;1;1;4.3;9.811180702097746;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;14350.0;14;vtype14;63385 69749702 69749701 60278
3;1,0,0;4;89af21dce965e9889282f54321129b3c;02;vtype15;1;1;1;1;4.3;11.104525540413764;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;14568.0;15;vtype15;63714 63721
3;1,0,0;4;dc6a18c9a2d15a353a0df41ff76d6b3b;02;vtype17;1;1;1;1;4.3;11.929325430942919;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;15149.000000000002;17;vtype17;60267 69749704 63393
3;1,0,0;4;11e8f0cf0d8c0711d817d1e99b741b29;02;vtype26;1;1;1;1;4.3;11.040760523431778;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;17239.0;26;vtype26;13467402 19775667 63301
3;1,0,0;4;3fabace051a4c92e859dbbb8ba07a5f8;02;vtype27;1;1;1;1;4.3;8.761719263949058;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;17326.0;27;vtype27;60267 69749704 63393
3;1,0,0;4;e275550d1072f692d1111027a9bbccbf;02;vtype28;1;1;1;1;4.3;5.658273284268001;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;17432.823;28;vtype28;89156519 64129 63402
3;1,0,0;4;77efd258b77accd46f097fa70f4ab5b6;02;vtype29;1;1;1;1;4.3;12.917281889042249;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;17491.0;29;vtype29;60267 69749704 63393
3;1,0,0;4;d516022a14a186e49c3764f5fabba385;02;vtype31;1;1;1;1;4.3;8.921512855989294;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;17814.0;31;vtype31;60267 69749704 63393
3;1,0,0;4;a2f338dd96975cc8344cd7182257c9e1;02;vtype33;1;1;1;1;4.3;7.616901097012933;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;17920.0;33;vtype33;63385 69749702 69749701 60278
3;1,0,0;4;a94af54a7644e7a6c821761ad8ec6975;02;vtype37;1;1;1;1;4.3;10.29792547742362;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;18251.0;37;vtype37;60267 69749704 63393
3;1,0,0;4;9b36d6bf6730037e6f5a392527e9297c;02;vtype38;1;1;1;1;4.3;11.988509902507328;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;18598.0;38;vtype38;60267 69749704 63393
3;1,0,0;4;1faf4fbdac920a86fdc60812aa44b8f7;02;vtype40;1;1;1;1;4.3;9.823563113797192;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;18731.91;40;vtype40;89156519 64129 63402
3;1,0,0;4;024fe284d30c7876b8aa6df8a88d8c3e;02;vtype42;1;1;1;1;4.3;10.77361949093379;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;18887.878;42;vtype42;89156519 64129 63402
