vehID,in_time,out_time
221888670#10__15.6,25212.0,25682.0
221888670#10__15.12,25224.0,25736.0
221888670#10__15.16,25232.0,26026.0
221888670#10__06.1,25236.0,25676.0
221888670#10__15.19,25238.0,25823.0
221888670#10__15.23,25246.0,25578.0
221888670#10__15.26,25252.0,25671.0
221888670#10__15.36,25272.0,26089.0
221888670#10__15.46,25292.0,25986.0
221888670#10__15.55,25310.0,25833.0
221888670#10__15.59,25318.0,25625.0
221888670#10__15.64,25328.0,26045.0
221888670#10__15.71,25342.0,26157.0
221888670#10__04.4,25344.0,26198.0
221888670#10__15.72,25344.0,25798.0
221888670#10__15.80,25360.0,25935.0
221888670#10__15.109,25418.0,25850.0
221888670#10__15.114,25428.0,25880.0
221888670#10__15.140,25480.0,25908.0
221888670#10__15.141,25482.0,25982.0
221888670#10__15.187,25574.0,26260.0
221888670#10__15.192,25584.0,26127.0
221888670#10__15.205,25610.0,26499.0
221888670#10__15.212,25624.0,26155.0
221888670#10__15.224,25648.0,26211.0
221888670#10__15.259,25718.0,26270.0
221888670#10__15.264,25728.0,26617.0
221888670#10__15.286,25772.0,26081.0
221888670#10__15.294,25788.0,26487.0
221888670#10__15.302,25804.0,26356.0
221888670#10__15.304,25808.0,26467.0
221888670#10__15.305,25810.0,26657.0
221888670#10__06.17,25812.0,26182.0
221888670#10__15.308,25816.0,26152.0
221888670#10__15.316,25832.0,26161.0
221888670#10__15.321,25842.0,26682.0
221888670#10__15.332,25864.0,26414.0
221888670#10__15.336,25872.0,26349.0
221888670#10__15.339,25878.0,26362.0
221888670#10__15.362,25924.0,26442.0
221888670#10__15.363,25926.0,26450.0
221888670#10__15.364,25928.0,26781.0
221888670#10__15.371,25942.0,26318.0
221888670#10__15.392,25984.0,26443.0
221888670#10__15.409,26018.0,26782.0
221888670#10__15.414,26028.0,26777.0
221888670#10__15.416,26032.0,26753.0
221888670#10__15.418,26036.0,26877.0
221888670#10__15.460,26120.0,26580.0
221888670#10__15.462,26124.0,26572.0
221888670#10__15.469,26138.0,26804.0
221888670#10__15.474,26148.0,26866.0
221888670#10__15.475,26150.0,26690.0
221888670#10__15.477,26154.0,26979.0
221888670#10__15.495,26190.0,26958.0
221888670#10__15.500,26200.0,26703.0
221888670#10__15.501,26202.0,26787.0
221888670#10__15.505,26210.0,27031.0
221888670#10__06.29,26244.0,27118.0
221888670#10__15.545,26290.0,26770.0
221888670#10__15.567,26334.0,27224.0
221888670#10__15.583,26366.0,26853.0
221888670#10__15.592,26384.0,27258.0
221888670#10__15.601,26402.0,27154.0
221888670#10__15.603,26406.0,26836.0
221888670#10__15.606,26412.0,27027.0
221888670#10__15.609,26418.0,26965.0
221888670#10__15.612,26424.0,27086.0
221888670#10__15.615,26430.0,26756.0
221888670#10__15.628,26456.0,27171.0
221888670#10__04.35,26460.0,27228.0
221888670#10__15.643,26486.0,27057.0
221888670#10__06.36,26496.0,26889.0
221888670#10__15.650,26500.0,26847.0
221888670#10__15.651,26502.0,27227.0
221888670#10__15.661,26522.0,27198.0
221888670#10__15.667,26534.0,27411.0
221888670#10__15.669,26538.0,27428.0
221888670#10__15.677,26554.0,27267.0
221888670#10__04.38,26568.0,27030.0
221888670#10__15.698,26596.0,26935.0
221888670#10__15.702,26604.0,27200.0
221888670#10__15.716,26632.0,27049.0
221888670#10__15.718,26636.0,27532.0
221888670#10__15.726,26652.0,27268.0
221888670#10__15.739,26678.0,27049.0
221888670#10__15.751,26702.0,27096.0
221888670#10__04.42,26712.0,27541.0
221888670#10__06.42,26712.0,27150.0
221888670#10__15.763,26726.0,27523.0
221888670#10__15.764,26728.0,27450.0
221888670#10__15.765,26730.0,27149.0
221888670#10__15.783,26766.0,27495.0
221888670#10__15.790,26780.0,27331.0
221888670#10__15.794,26788.0,27650.0
221888670#10__15.795,26790.0,27112.0
221888670#10__15.803,26806.0,27464.0
221888670#10__15.807,26814.0,27324.0
221888670#10__15.813,26826.0,27662.0
221888670#10__15.816,26832.0,27467.0
221888670#10__15.827,26854.0,27220.0
221888670#10__15.838,26876.0,27258.0
221888670#10__15.841,26882.0,27672.0
221888670#10__15.843,26886.0,27615.0
221888670#10__15.850,26900.0,27204.0
221888670#10__15.852,26904.0,27508.0
221888670#10__15.855,26910.0,27622.0
221888670#10__15.868,26936.0,27332.0
221888670#10__15.876,26952.0,27269.0
221888670#10__15.895,26990.0,27424.0
221888670#10__15.911,27022.0,27593.0
221888670#10__15.912,27024.0,27907.0
221888670#10__15.916,27032.0,27449.0
221888670#10__15.934,27068.0,27886.0
221888670#10__15.935,27070.0,27665.0
221888670#10__15.939,27078.0,27538.0
221888670#10__15.945,27090.0,27532.0
221888670#10__04.53,27108.0,27521.0
221888670#10__15.957,27114.0,27964.0
221888670#10__15.974,27148.0,28042.0
221888670#10__15.987,27174.0,27763.0
221888670#10__15.989,27178.0,27654.0
221888670#10__04.55,27180.0,27637.0
221888670#10__15.990,27180.0,27722.0
221888670#10__15.1005,27210.0,28032.0
221888670#10__15.1019,27238.0,27807.0
221888670#10__15.1061,27322.0,27979.0
221888670#10__15.1067,27334.0,27773.0
221888670#10__15.1069,27338.0,28211.0
221888670#10__15.1072,27344.0,27917.0
221888670#10__06.60,27360.0,28062.0
221888670#10__15.1109,27418.0,28141.0
221888670#10__15.1112,27424.0,27879.0
221888670#10__15.1118,27436.0,27787.0
221888670#10__15.1121,27442.0,28333.0
221888670#10__15.1125,27450.0,27936.0
221888670#10__15.1127,27454.0,27956.0
221888670#10__15.1131,27462.0,28293.0
221888670#10__04.63,27468.0,28000.0
221888670#10__15.1141,27482.0,28118.0
221888670#10__15.1150,27500.0,27979.0
221888670#10__15.1151,27502.0,28299.0
221888670#10__15.1160,27520.0,28372.0
221888670#10__15.1165,27530.0,28236.0
221888670#10__15.1181,27562.0,27901.0
221888670#10__04.66,27576.0,27973.0
221888670#10__15.1196,27592.0,28094.0
221888670#10__15.1201,27602.0,28182.0
221888670#10__15.1207,27614.0,28105.0
221888670#10__15.1222,27644.0,28542.0
221888670#10__15.1271,27742.0,28311.0
221888670#10__15.1272,27744.0,28463.0
221888670#10__15.1297,27794.0,28436.0
221888670#10__15.1302,27804.0,28650.0
221888670#10__15.1309,27818.0,28355.0
221888670#10__15.1310,27820.0,28185.0
221888670#10__15.1313,27826.0,28280.0
221888670#10__04.73,27828.0,28472.0
221888670#10__15.1315,27830.0,28427.0
221888670#10__15.1321,27842.0,28540.0
221888670#10__15.1324,27848.0,28251.0
221888670#10__15.1327,27854.0,28458.0
221888670#10__15.1329,27858.0,28380.0
221888670#10__04.74,27864.0,28293.0
221888670#10__15.1336,27872.0,28236.0
221888670#10__15.1352,27904.0,28729.0
221888670#10__15.1355,27910.0,28306.0
221888670#10__15.1357,27914.0,28666.0
221888670#10__15.1361,27922.0,28806.0
221888670#10__06.76,27936.0,28333.0
221888670#10__15.1371,27942.0,28311.0
221888670#10__15.1374,27948.0,28586.0
221888670#10__15.1376,27952.0,28838.0
221888670#10__15.1379,27958.0,28809.0
221888670#10__15.1412,28024.0,28365.0
221888670#10__15.1414,28028.0,28810.0
221888670#10__15.1415,28030.0,28614.0
221888670#10__15.1433,28066.0,28658.0
221888670#10__15.1435,28070.0,28555.0
221888670#10__15.1437,28074.0,28720.0
221888670#10__15.1448,28096.0,28491.0
221888670#10__15.1484,28168.0,28694.0
221888670#10__15.1488,28176.0,28683.0
221888670#10__15.1507,28214.0,28545.0
221888670#10__15.1509,28218.0,28930.0
221888670#10__15.1532,28264.0,28928.0
221888670#10__15.1538,28276.0,28656.0
221888670#10__15.1543,28286.0,28901.0
221888670#10__15.1550,28300.0,29152.0
221888670#10__15.1555,28310.0,29057.0
221888670#10__15.1562,28324.0,29157.0
221888670#10__04.87,28332.0,28983.0
221888670#10__06.87,28332.0,28661.0
221888670#10__15.1576,28352.0,28896.0
221888670#10__15.1593,28386.0,29071.0
221888670#10__15.1614,28428.0,28731.0
221888670#10__15.1629,28458.0,29112.0
221888670#10__15.1638,28476.0,28910.0
221888670#10__15.1644,28488.0,29157.0
221888670#10__15.1647,28494.0,28852.0
221888670#10__15.1666,28532.0,29155.0
221888670#10__15.1670,28540.0,29206.0
221888670#10__15.1672,28544.0,29323.0
221888670#10__15.1687,28574.0,29207.0
221888670#10__15.1707,28614.0,29200.0
221888670#10__15.1731,28662.0,29192.0
221888670#10__15.1760,28720.0,29380.0
221888670#10__15.1763,28726.0,29115.0
221888670#10__15.1777,28754.0,29258.0
221888670#10__15.1781,28762.0,29428.0
221888670#10__15.1784,28768.0,29114.0
221888670#10__15.1790,28780.0,29313.0
221888670#10__15.1799,28798.0,29421.0
